looks,height,confidence,talk_frequency,shared_interests,likes_you
7,190,4,8,8,1
4,179,6,1,8,0
8,166,9,6,1,1
5,169,1,8,10,1
7,174,5,3,5,0
10,171,7,8,4,1
3,162,1,1,2,0
7,168,4,9,8,1
8,185,6,9,3,1
5,161,2,5,4,0
4,190,10,10,7,1
8,168,5,4,10,1
8,161,10,6,9,1
3,158,1,7,2,0
6,156,6,5,3,0
5,177,6,10,4,1
2,163,4,9,10,1
8,180,8,3,1,0
6,168,4,7,7,1
2,165,8,10,2,0
5,154,8,10,5,1
1,184,5,5,1,0
10,161,4,7,3,1
6,174,2,2,2,0
9,170,3,4,1,0
1,185,3,2,7,0
10,172,4,7,5,1
3,165,4,2,1,0
7,188,10,1,6,1
4,194,5,9,5,1
9,191,4,1,3,0
3,188,10,8,7,1
5,163,8,2,10,1
3,180,6,8,9,1
7,154,6,3,9,1
5,184,8,6,9,1
9,172,7,3,2,1
7,178,10,7,3,1
2,192,10,10,7,1
4,160,8,9,5,1
9,167,2,2,2,0
2,161,9,5,3,0
10,158,1,6,10,1
9,159,8,4,6,1
10,193,4,4,7,1
5,166,4,4,9,1
2,187,5,2,1,0
4,156,8,4,7,1
7,162,5,1,8,1
8,189,8,6,3,1
3,191,10,1,4,0
1,158,1,10,10,0
4,176,10,6,6,1
2,151,9,1,10,1
8,154,6,6,7,1
4,178,3,10,4,0
2,186,8,8,8,1
6,187,9,2,5,1
6,168,6,2,1,0
10,157,7,4,4,1
4,194,1,3,3,0
6,150,5,4,9,1
2,171,5,7,8,0
10,166,10,1,1,1
2,156,4,6,6,0
10,174,6,3,9,1
4,194,7,10,7,1
8,153,9,7,4,1
7,185,1,10,1,0
9,155,6,2,2,0
8,180,7,2,5,1
5,168,3,4,5,0
2,193,8,1,8,0
5,188,5,3,6,0
8,176,9,9,8,1
10,159,5,7,2,1
9,175,9,7,3,1
9,168,10,4,6,1
1,188,4,2,10,0
9,152,9,4,3,1
7,194,5,6,6,1
9,162,10,3,6,1
8,177,9,1,2,0
1,169,3,8,7,0
8,177,4,5,2,0
8,157,9,5,6,1
3,190,10,4,1,0
1,188,6,6,3,0
8,150,2,3,2,0
3,152,7,9,7,1
3,162,2,5,4,0
1,177,2,3,8,0
5,174,1,1,6,0
10,182,3,10,10,1
7,187,6,6,4,1
10,155,8,2,5,1
9,193,9,3,9,1
7,194,7,1,7,1
9,181,4,9,10,1
8,194,6,8,9,1
2,170,5,2,7,0
1,165,8,8,1,0
7,170,1,9,8,1
7,160,1,1,4,0
8,186,6,5,3,1
5,185,10,8,7,1
3,184,2,2,3,0
8,168,5,4,8,1
6,169,1,7,6,0
3,167,7,3,5,0
1,190,1,5,4,0
3,163,4,8,8,1
5,164,9,10,8,1
3,180,1,3,1,0
1,150,4,4,9,0
5,152,6,9,5,1
10,165,6,7,4,1
7,172,8,1,6,1
7,160,1,4,6,0
9,161,7,4,2,1
10,159,1,9,8,1
10,181,7,6,7,1
3,165,3,9,1,0
7,157,8,6,5,1
1,187,3,6,6,0
4,161,1,5,4,0
4,173,8,5,2,0
5,177,3,2,4,0
7,157,2,8,1,0
7,177,1,8,7,1
4,185,3,1,2,0
7,175,2,8,2,0
3,157,2,5,9,0
6,177,6,2,5,0
2,177,1,2,2,0
10,186,2,6,9,1
9,190,6,9,9,1
5,185,3,1,1,0
6,176,4,6,3,0
4,166,1,9,4,0
10,158,8,8,7,1
7,182,7,6,10,1
9,169,7,3,4,1
7,162,3,8,2,0
1,177,10,9,7,1
1,178,10,1,6,0
9,162,3,9,3,1
9,184,2,6,6,1
4,155,1,6,6,0
9,167,7,4,5,1
3,154,7,1,4,0
7,174,2,10,10,1
6,151,7,8,1,0
8,159,8,2,10,1
9,179,1,1,6,0
5,194,9,2,2,0
1,154,7,1,3,0
3,182,3,1,8,0
10,150,8,9,10,1
8,167,7,1,6,1
6,181,8,4,3,0
8,160,6,10,7,1
9,170,9,6,4,1
4,175,5,7,9,1
1,174,3,2,5,0
1,171,3,6,3,0
10,176,1,7,2,0
4,162,8,10,2,1
7,182,2,10,3,0
2,183,3,2,2,0
3,190,8,2,4,0
1,184,8,10,2,0
5,150,4,7,10,1
1,170,4,1,9,0
8,155,5,8,2,1
1,177,6,3,9,0
1,166,5,6,6,0
2,154,7,9,1,0
2,180,2,6,4,0
6,154,7,9,1,1
7,187,10,7,6,1
5,152,7,9,4,1
1,172,1,2,3,0
1,186,7,8,3,0
3,186,5,8,9,1
2,159,3,2,6,0
5,159,3,4,9,0
10,168,4,7,5,1
6,166,2,4,2,0
7,170,2,4,8,0
4,163,1,6,5,0
7,158,5,10,2,1
8,150,4,6,4,1
1,194,10,10,9,1
6,162,2,3,4,0
8,153,3,9,4,1
5,150,7,10,2,1
4,189,7,2,6,0
2,181,4,6,2,0
6,183,5,7,7,1
6,177,5,9,3,1
1,180,6,3,3,0
9,157,9,10,5,1
6,188,2,3,3,0
3,175,5,7,2,0
4,183,3,4,10,0
4,152,4,8,9,1
3,161,10,7,2,0
10,150,6,5,2,1
3,193,8,7,8,1
3,154,1,3,9,0
4,179,10,2,7,1
7,179,8,6,3,1
4,166,7,2,9,1
9,172,1,3,3,0
